;w_1;w_2;w_3
07.09.2001;0.73;0.35;1.7
14.09.2001;-0.49;0.09;0.27
21.09.2001;0.09;0.33;0.12
28.09.2001;0.51;0.16;-0.03
05.10.2001;0.43;-0.2;-1.03
12.10.2001;0.31;0.07;-0.27
19.10.2001;0.83;-0.32;-0.68
26.10.2001;0.11;-0.08;0.26
02.11.2001;-0.59;0.17;0.01
09.11.2001;0.57;0.01;0.46
16.11.2001;-0.16;0.15;0.54
23.11.2001;0.07;0.26;0.97
07.12.2001;-0.61;-0.14;-0.59
14.12.2001;0.29;-0.09;0.91
21.12.2001;-0.18;0.09;-0.06
28.12.2001;-0.06;-0.63;-0.67
04.01.2002;-0.44;-0.34;-1.34
11.01.2002;0.41;-0.04;-0.52
18.01.2002;0.15;-0.1;-0.03
25.01.2002;0.95;0.08;0.64
01.02.2002;-0.05;0;-0.22
08.02.2002;0.33;0.21;1.07
15.02.2002;0.37;0.23;0.95
22.02.2002;-0.39;0.21;-0.81
01.03.2002;-0.2;-0.17;-0.66
08.03.2002;-0.08;0.02;-0.19
15.03.2002;0.48;0.14;1.33
